err;fourier;sep;slepians 4
10;0.9221;0.7456;0.6072
30;0.8297;0.4059;0.2545
50;0.7609;0.1986;0.1361
70;0.7017;0.1136;0.0698
90;0.6494;0.0746;0.0358
110;0.5997;0.0533;0.0187
130;0.5546;0.0391;0.0110
150;0.5132;0.0312;0.0069
170;0.4760;0.0247;0.0050
190;0.4410;0.0196;0.0041
210;0.4071;0.0163;0.0039
230;0.3745;0.0135;0.0039
250;0.3437;0.0111;0.0039
270;0.3148;0.0094;0.0039
290;0.2862;0.0080;0.0040
310;0.2592;0.0069;0.0040
330;0.2339;0.0061;0.0040
350;0.2096;0.0054;0.0040
370;0.1860;0.0049;0.0040
390;0.1635;0.0046;0.0040
410;0.1424;0.0044;0.0040
430;0.1230;0.0043;0.0040
450;0.1047;0.0042;0.0040
470;0.0884;0.0041;0.0040
490;0.0737;0.0040;0.0040
